Answer.worker_feedbacks,correctness_human,novelty_human,WorkerId,Input.problem_id,llm_judge_novelty,edited,too simple
,1,0,johnny,2006_AMC_12B_Problems_10,0,,
Barely can be novel,1,0,alvin,2006_AMC_12B_Problems_10,0,,
reverse solution,1,0,joey,2006_AMC_12B_Problems_10,0,,
,1,0,alvin,2006_AMC_12B_Problems_22,0,,
,1,0,johnny,2006_AMC_12B_Problems_22,0,,
,1,0,joey,2006_AMC_12B_Problems_22,0,,
,1,1,alvin,2008_AIME_II_Problems_1,1,,
,1,0,johnny,2008_AIME_II_Problems_1,1,,
,1,1,joey,2008_AIME_II_Problems_1,1,,
,1,0,alvin,2008_AMC_10A_Problems_13,0,,
too simple to consider as novel?,1,0,joey,2008_AMC_10A_Problems_13,0,1,1
,1,1,alvin,2008_IMO_Problems_5,1,,
,1,1,johnny,2008_IMO_Problems_5,1,,
,1,1,joey,2008_IMO_Problems_5,1,,
,1,0,johnny,2010_AIME_II_Problems_4,0,,
,1,0,alvin,2010_AIME_II_Problems_4,0,,
,1,0,joey,2010_AIME_II_Problems_4,0,1,
,1,0,alvin,2010_USAJMO_Problems_2,1,,
,1,1,johnny,2010_USAJMO_Problems_2,1,,
,1,1,joey,2010_USAJMO_Problems_2,1,,
"This solution is basically repeating the solution above and I don't think its process is complete, though the answer is correct...",0,0,alvin,2010_USAMO_Problems_6,0,,
,1,0,johnny,2010_USAMO_Problems_6,0,,
,0,0,joey,2010_USAMO_Problems_6,0,,
,1,0,alvin,2011_AIME_I_Problems_12,0,,
,1,0,johnny,2011_AIME_I_Problems_12,0,,
,1,0,joey,2011_AIME_I_Problems_12,0,,
,1,1,johnny,2012_AIME_II_Problems_11,1,,
,1,1,alvin,2012_AIME_II_Problems_11,1,,
,1,1,joey,2012_AIME_II_Problems_11,1,1,
,1,0,alvin,2013_USAJMO_Problems_2,0,,
,1,1,johnny,2013_USAJMO_Problems_2,0,,
,1,1,joey,2013_USAJMO_Problems_2,0,,
,1,0,johnny,2014_AMC_10A_Problems_3,1,,
Hard to be novel,1,0,alvin,2014_AMC_10A_Problems_3,1,,1
,1,0,joey,2014_AMC_10A_Problems_3,1,,
,0,0,johnny,2016_AMC_10A_Problems_16,1,,
Barely Novel,0,0,alvin,2016_AMC_10A_Problems_16,1,,
,1,0,joey,2016_AMC_10A_Problems_16,1,,
,1,0,johnny,2016_AMC_8_Problems_6,1,,
,1,0,alvin,2016_AMC_8_Problems_6,1,,
very hard to be novel,1,0,joey,2016_AMC_8_Problems_6,1,,1
,1,1,johnny,2018_USAJMO_Problems_5,1,,
,1,1,alvin,2018_USAJMO_Problems_5,1,,
,1,1,joey,2018_USAJMO_Problems_5,1,,
,1,0,johnny,2019_AMC_8_Problems_20,1,,
,1,1,alvin,2019_AMC_8_Problems_20,1,,
,1,1,joey,2019_AMC_8_Problems_20,1,,
,1,0,johnny,2020_AMC_10A_Problems_1,1,,
,1,1,alvin,2020_AMC_10A_Problems_1,1,,
,1,1,joey,2020_AMC_10A_Problems_1,1,,
,0,1,johnny,2021_USAJMO_Problems_4,0,,
,1,0,alvin,2021_USAJMO_Problems_4,0,,
the solution just comes out of nowhere,0,0,joey,2021_USAJMO_Problems_4,0,,
Hard to be novel,1,0,alvin,2022_AMC_12A_Problems_9,1,,
,1,0,johnny,2022_AMC_12A_Problems_9,1,,
,0,0,joey,2022_AMC_12A_Problems_9,1,,
"this answer is not directly answer the question, but it is not novel",0,0,johnny,2023_AMC_12A_Problems_23,1,,
,1,0,alvin,2023_AMC_12A_Problems_23,1,,
,1,0,joey,2023_AMC_12A_Problems_23,1,,
,1,0,johnny,2023_AMC_12B_Problems_4,1,,
Slightly different,1,0,alvin,2023_AMC_12B_Problems_4,1,,1
very hard to be novel,1,0,joey,2023_AMC_12B_Problems_4,1,,1
,1,0,alvin,2023_USAJMO_Problems_5,1,,
,1,0,johnny,2023_USAJMO_Problems_5,1,,
,1,0,joey,2023_USAJMO_Problems_5,1,,
,1,0,alvin,2024_USAJMO_Problems_3,1,,
,1,0,johnny,2024_USAJMO_Problems_3,1,,
,0,0,joey,2024_USAJMO_Problems_3,1,,
,1,0,johnny,2024_USAJMO_Problems_4,1,,
,1,1,alvin,2024_USAJMO_Problems_4,1,,
,1,1,joey,2024_USAJMO_Problems_4,1,,
